generatedAt=2026-03-24T17:22:38.672Z
totalOperations=2574
totalSkipOperations=2477
totalCcSkipEvents=1043
distinctCcValues=140

cc | skipEvents | uniqueTokens | pctOnCcSkips
5 | 206 | 206 | 19.75%
4 | 191 | 191 | 18.31%
6 | 128 | 128 | 12.27%
3 | 86 | 86 | 8.25%
2 | 44 | 44 | 4.22%
50 | 38 | 38 | 3.64%
29 | 30 | 30 | 2.88%
7 | 29 | 29 | 2.78%
39 | 15 | 15 | 1.44%
36 | 8 | 8 | 0.77%
44 | 8 | 8 | 0.77%
37 | 7 | 7 | 0.67%
134 | 7 | 7 | 0.67%
88 | 6 | 6 | 0.58%
133 | 6 | 6 | 0.58%
137 | 6 | 6 | 0.58%
9 | 5 | 5 | 0.48%
35 | 5 | 5 | 0.48%
126 | 5 | 5 | 0.48%
234 | 5 | 5 | 0.48%
8 | 4 | 4 | 0.38%
30 | 4 | 4 | 0.38%
34 | 4 | 4 | 0.38%
46 | 4 | 4 | 0.38%
96 | 4 | 4 | 0.38%
123 | 4 | 4 | 0.38%
130 | 4 | 4 | 0.38%
142 | 4 | 4 | 0.38%
202 | 4 | 4 | 0.38%
918 | 4 | 4 | 0.38%
12 | 3 | 3 | 0.29%
14 | 3 | 3 | 0.29%
16 | 3 | 3 | 0.29%
33 | 3 | 3 | 0.29%
38 | 3 | 3 | 0.29%
42 | 3 | 3 | 0.29%
43 | 3 | 3 | 0.29%
45 | 3 | 3 | 0.29%
47 | 3 | 3 | 0.29%
48 | 3 | 3 | 0.29%
49 | 3 | 3 | 0.29%
57 | 3 | 3 | 0.29%
121 | 3 | 3 | 0.29%
125 | 3 | 3 | 0.29%
160 | 3 | 3 | 0.29%
163 | 3 | 3 | 0.29%
15 | 2 | 2 | 0.19%
24 | 2 | 2 | 0.19%
25 | 2 | 2 | 0.19%
31 | 2 | 2 | 0.19%
32 | 2 | 2 | 0.19%
41 | 2 | 2 | 0.19%
58 | 2 | 2 | 0.19%
60 | 2 | 2 | 0.19%
67 | 2 | 2 | 0.19%
78 | 2 | 2 | 0.19%
84 | 2 | 2 | 0.19%
89 | 2 | 2 | 0.19%
91 | 2 | 2 | 0.19%
107 | 2 | 2 | 0.19%
108 | 2 | 2 | 0.19%
129 | 2 | 2 | 0.19%
138 | 2 | 2 | 0.19%
144 | 2 | 2 | 0.19%
152 | 2 | 2 | 0.19%
154 | 2 | 2 | 0.19%
169 | 2 | 2 | 0.19%
203 | 2 | 2 | 0.19%
242 | 2 | 2 | 0.19%
349 | 2 | 2 | 0.19%
352 | 2 | 2 | 0.19%
353 | 2 | 2 | 0.19%
10 | 1 | 1 | 0.1%
11 | 1 | 1 | 0.1%
19 | 1 | 1 | 0.1%
22 | 1 | 1 | 0.1%
26 | 1 | 1 | 0.1%
28 | 1 | 1 | 0.1%
51 | 1 | 1 | 0.1%
52 | 1 | 1 | 0.1%
54 | 1 | 1 | 0.1%
56 | 1 | 1 | 0.1%
59 | 1 | 1 | 0.1%
61 | 1 | 1 | 0.1%
63 | 1 | 1 | 0.1%
68 | 1 | 1 | 0.1%
69 | 1 | 1 | 0.1%
70 | 1 | 1 | 0.1%
76 | 1 | 1 | 0.1%
77 | 1 | 1 | 0.1%
79 | 1 | 1 | 0.1%
80 | 1 | 1 | 0.1%
81 | 1 | 1 | 0.1%
82 | 1 | 1 | 0.1%
85 | 1 | 1 | 0.1%
86 | 1 | 1 | 0.1%
92 | 1 | 1 | 0.1%
105 | 1 | 1 | 0.1%
106 | 1 | 1 | 0.1%
109 | 1 | 1 | 0.1%
110 | 1 | 1 | 0.1%
111 | 1 | 1 | 0.1%
115 | 1 | 1 | 0.1%
116 | 1 | 1 | 0.1%
119 | 1 | 1 | 0.1%
120 | 1 | 1 | 0.1%
122 | 1 | 1 | 0.1%
128 | 1 | 1 | 0.1%
131 | 1 | 1 | 0.1%
146 | 1 | 1 | 0.1%
147 | 1 | 1 | 0.1%
148 | 1 | 1 | 0.1%
149 | 1 | 1 | 0.1%
165 | 1 | 1 | 0.1%
166 | 1 | 1 | 0.1%
167 | 1 | 1 | 0.1%
168 | 1 | 1 | 0.1%
172 | 1 | 1 | 0.1%
173 | 1 | 1 | 0.1%
175 | 1 | 1 | 0.1%
201 | 1 | 1 | 0.1%
213 | 1 | 1 | 0.1%
216 | 1 | 1 | 0.1%
231 | 1 | 1 | 0.1%
233 | 1 | 1 | 0.1%
238 | 1 | 1 | 0.1%
245 | 1 | 1 | 0.1%
267 | 1 | 1 | 0.1%
273 | 1 | 1 | 0.1%
288 | 1 | 1 | 0.1%
326 | 1 | 1 | 0.1%
341 | 1 | 1 | 0.1%
345 | 1 | 1 | 0.1%
348 | 1 | 1 | 0.1%
351 | 1 | 1 | 0.1%
360 | 1 | 1 | 0.1%
662 | 1 | 1 | 0.1%
678 | 1 | 1 | 0.1%
817 | 1 | 1 | 0.1%
840 | 1 | 1 | 0.1%
