generatedAt=2026-03-24T17:20:47.705Z
reportGeneratedAt=2026-03-24T17:20:39.516Z
cc=3
totalTokens=86
withAnyPairs=86
withWsolPairs=86
withWsolLiq1k=0
withWsolLiq10k=0

token | occurrences | wsolPairs | bestWsolLiqUsd | change24h | class | gmgn
6MMTyQVdFrQpgbJnJ9qRYZSB3cue46v6HP1AyfXKPVJq | 1 | 2 | 3.7 | 144 | big_gain | https://gmgn.ai/sol/token/6MMTyQVdFrQpgbJnJ9qRYZSB3cue46v6HP1AyfXKPVJq
4yHfwRE4uqfkYpKRD2Svg1pjeayJfswUB7LGfkzUmoon | 1 | 1 | 0.01 | 95.4 | gain | https://gmgn.ai/sol/token/4yHfwRE4uqfkYpKRD2Svg1pjeayJfswUB7LGfkzUmoon
6J1T9QfQGY31UR11zy6U1Vb23D9cEMMX2S1JfEcNuo91 | 1 | 1 | 0 | 246 | no_liquidity | https://gmgn.ai/sol/token/6J1T9QfQGY31UR11zy6U1Vb23D9cEMMX2S1JfEcNuo91
4p5reiU69bXobjj6uMMnNxNJjXWmjUHQ3Ham9KaKBGop | 1 | 1 | 0 | 182 | no_liquidity | https://gmgn.ai/sol/token/4p5reiU69bXobjj6uMMnNxNJjXWmjUHQ3Ham9KaKBGop
Adn1zrAb8EVh8GXEJG6GLfKzE8sYtRrWdrdzqGrcyEyn | 1 | 1 | 0 | 49776 | no_liquidity | https://gmgn.ai/sol/token/Adn1zrAb8EVh8GXEJG6GLfKzE8sYtRrWdrdzqGrcyEyn
E144tTLT9EZdKJWjtAS7eu2yUD4RYmGbtJRQbwDgeXNz | 1 | 1 | 0 | 11994 | no_liquidity | https://gmgn.ai/sol/token/E144tTLT9EZdKJWjtAS7eu2yUD4RYmGbtJRQbwDgeXNz
3uMhtJPTipsg9PEJN3NDWL1YhDR2ffshmdvDwrPunK9e | 1 | 1 | 0 | 17.67 | no_liquidity | https://gmgn.ai/sol/token/3uMhtJPTipsg9PEJN3NDWL1YhDR2ffshmdvDwrPunK9e
7Jp56ZHGiNexDH3Fkcr3ZSSyCKX9ZcmFJgob8yT2p2vC | 1 | 1 | 0 | -21.87 | no_liquidity | https://gmgn.ai/sol/token/7Jp56ZHGiNexDH3Fkcr3ZSSyCKX9ZcmFJgob8yT2p2vC
3M86FVqwZ7xXKDE27WaJFM2xj4yYC9mw379Hv5agDj64 | 1 | 1 | 0 | 110 | no_liquidity | https://gmgn.ai/sol/token/3M86FVqwZ7xXKDE27WaJFM2xj4yYC9mw379Hv5agDj64
7yp6Wy4xowT929SzEX1Uku32Nu6CZxUEDLKmAdcn2kqo | 1 | 1 | 0 | 14095483 | no_liquidity | https://gmgn.ai/sol/token/7yp6Wy4xowT929SzEX1Uku32Nu6CZxUEDLKmAdcn2kqo
GVNsfZUym57yUhVNhiTFvuPLxkvqWdnmNAe45nVGFrHz | 1 | 1 | 0 | 1.86 | no_liquidity | https://gmgn.ai/sol/token/GVNsfZUym57yUhVNhiTFvuPLxkvqWdnmNAe45nVGFrHz
B2eACwNgtBSWe3cU7wY1UiEDfuynFsUMNLdm7CZQCxQe | 1 | 1 | 0 | 222 | no_liquidity | https://gmgn.ai/sol/token/B2eACwNgtBSWe3cU7wY1UiEDfuynFsUMNLdm7CZQCxQe
9TdWwBUYb7TSd2CULMfNDzvxFdYFcW5m7uZaTwLbrvKC | 1 | 1 | 0 | 162 | no_liquidity | https://gmgn.ai/sol/token/9TdWwBUYb7TSd2CULMfNDzvxFdYFcW5m7uZaTwLbrvKC
37QatfMwBFBtMbw7vAVniLpsG3D5XLQ2tUiGy8KW9Xoc | 1 | 1 | 0 | 4477 | no_liquidity | https://gmgn.ai/sol/token/37QatfMwBFBtMbw7vAVniLpsG3D5XLQ2tUiGy8KW9Xoc
3CChowUQfrWQgZHrjEsCVotzSsQXDaWid6UkGm8VgELQ | 1 | 1 | 0 | 89.1 | no_liquidity | https://gmgn.ai/sol/token/3CChowUQfrWQgZHrjEsCVotzSsQXDaWid6UkGm8VgELQ
2rHeBMQQk7wmcBaB3UmRnBtLR8yzBGaok7jsR4tXeda4 | 1 | 1 | 0 | 78.59 | no_liquidity | https://gmgn.ai/sol/token/2rHeBMQQk7wmcBaB3UmRnBtLR8yzBGaok7jsR4tXeda4
FAPXQZ3qwbAE6cvjk6TjSEx6pAZtJ4jyFX3fxnVnMzFE | 1 | 1 | 0 | 291 | no_liquidity | https://gmgn.ai/sol/token/FAPXQZ3qwbAE6cvjk6TjSEx6pAZtJ4jyFX3fxnVnMzFE
AoqQRfi5d93Uybbbx9etxWXPMM9hRvwtuD4sS2UmLmS1 | 1 | 1 | 0 | 212 | no_liquidity | https://gmgn.ai/sol/token/AoqQRfi5d93Uybbbx9etxWXPMM9hRvwtuD4sS2UmLmS1
6sBgLYR8s6inNsymD8my6xYDGZU8TRBqQSX7dHK86J4R | 1 | 1 | 0 | 230 | no_liquidity | https://gmgn.ai/sol/token/6sBgLYR8s6inNsymD8my6xYDGZU8TRBqQSX7dHK86J4R
HzhfYwGyhC65V8ZmK2bzaWFeucxGYNPK8P4cBtc6ijEt | 1 | 1 | 0 | 16.89 | no_liquidity | https://gmgn.ai/sol/token/HzhfYwGyhC65V8ZmK2bzaWFeucxGYNPK8P4cBtc6ijEt
4TTEPiJ6YAbYDmtjQVjcT3xWo2dMqBcUByxtgjmZVmr3 | 1 | 1 | 0 | 250 | no_liquidity | https://gmgn.ai/sol/token/4TTEPiJ6YAbYDmtjQVjcT3xWo2dMqBcUByxtgjmZVmr3
FooyMdVmF2pw8fwq7KLiaAeXFeSfK3oWuxzqiCarHXf5 | 1 | 1 | 0 | 90.15 | no_liquidity | https://gmgn.ai/sol/token/FooyMdVmF2pw8fwq7KLiaAeXFeSfK3oWuxzqiCarHXf5
94Bs8jYNdpt9GqdQZu49DHPtZqPasHpMc2LeWMxv1q9Q | 1 | 1 | 0 | 13.79 | no_liquidity | https://gmgn.ai/sol/token/94Bs8jYNdpt9GqdQZu49DHPtZqPasHpMc2LeWMxv1q9Q
Ae1U4AZfAxA9KwhQzSf1sDdZHeL5k1BcR8n6M3C5VZGQ | 1 | 1 | 0 | 9.27 | no_liquidity | https://gmgn.ai/sol/token/Ae1U4AZfAxA9KwhQzSf1sDdZHeL5k1BcR8n6M3C5VZGQ
mqZCYMopbMjncKD6N5V4RdPgF8au7cUVHjuJg5QC2nx | 1 | 1 | 0 | 91 | no_liquidity | https://gmgn.ai/sol/token/mqZCYMopbMjncKD6N5V4RdPgF8au7cUVHjuJg5QC2nx
5pju8pqKguDag3ktnWqTMrEP3mvQhg8iFhFZqmM8fjea | 1 | 1 | 0 | 61.53 | no_liquidity | https://gmgn.ai/sol/token/5pju8pqKguDag3ktnWqTMrEP3mvQhg8iFhFZqmM8fjea
8pRVpWUPdryxRw1LnKkt8kkUCQ2u7BV9apeV7ZiV7V4m | 1 | 1 | 0 | 80.62 | no_liquidity | https://gmgn.ai/sol/token/8pRVpWUPdryxRw1LnKkt8kkUCQ2u7BV9apeV7ZiV7V4m
E7BnNutLMAp2u71EQBzihXxH2EBnuZkkKm1744wFc2JQ | 1 | 1 | 0 | 52.86 | no_liquidity | https://gmgn.ai/sol/token/E7BnNutLMAp2u71EQBzihXxH2EBnuZkkKm1744wFc2JQ
wdqBKmkBqza7hz6RMgZanRL2Hhs3yQasnNDYAhuRty8 | 1 | 1 | 0 | 80.33 | no_liquidity | https://gmgn.ai/sol/token/wdqBKmkBqza7hz6RMgZanRL2Hhs3yQasnNDYAhuRty8
35qKZsTB2ahM8YY5KQHXRzzRxhwN8GAXkbjNhL8XEs7D | 1 | 1 | 0 | 36.26 | no_liquidity | https://gmgn.ai/sol/token/35qKZsTB2ahM8YY5KQHXRzzRxhwN8GAXkbjNhL8XEs7D
ELUuPuaFapkVWe64yTMatUHnVhEkA1TEGHKTQWLkhjjT | 1 | 1 | 0 | 67.01 | no_liquidity | https://gmgn.ai/sol/token/ELUuPuaFapkVWe64yTMatUHnVhEkA1TEGHKTQWLkhjjT
2guuk5AEd2Skh6HsDq9MDgYbgoAmCFhB6viTwFCRW7xE | 1 | 1 | 0 | 116 | no_liquidity | https://gmgn.ai/sol/token/2guuk5AEd2Skh6HsDq9MDgYbgoAmCFhB6viTwFCRW7xE
HKdMGCosdNmzz98kyyzrfF2A8v436e5ukXYiYqihZxbe | 1 | 1 | 0 | 26.96 | no_liquidity | https://gmgn.ai/sol/token/HKdMGCosdNmzz98kyyzrfF2A8v436e5ukXYiYqihZxbe
8hC619FuxCp4TG6kSBtxPDwDGrXtwg1akRY4Ho22y2GJ | 1 | 1 | 0 | 226 | no_liquidity | https://gmgn.ai/sol/token/8hC619FuxCp4TG6kSBtxPDwDGrXtwg1akRY4Ho22y2GJ
CzuyPii7JrZnFHwdvn9zQWYKBEsw143mwX6XKfZbM9R5 | 1 | 1 | 0 | 56.42 | no_liquidity | https://gmgn.ai/sol/token/CzuyPii7JrZnFHwdvn9zQWYKBEsw143mwX6XKfZbM9R5
3ao7L8juEjxdz8vSZaDzyNUdJmCNYVKWNWgRpHugz2a3 | 1 | 1 | 0 | 33.79 | no_liquidity | https://gmgn.ai/sol/token/3ao7L8juEjxdz8vSZaDzyNUdJmCNYVKWNWgRpHugz2a3
CaLGZiN9mVWK7HFF8GC1SrCBzffaKDCCnrAvwzEJKL3Z | 1 | 1 | 0 | 190 | no_liquidity | https://gmgn.ai/sol/token/CaLGZiN9mVWK7HFF8GC1SrCBzffaKDCCnrAvwzEJKL3Z
7C1KeVHQ5ntfWoN19taVcdDwsQYJmDbg9ysmhceWuS5x | 1 | 1 | 0 | 61.07 | no_liquidity | https://gmgn.ai/sol/token/7C1KeVHQ5ntfWoN19taVcdDwsQYJmDbg9ysmhceWuS5x
8wPyN5UizvYP8cznQeYwrBV6QyfBsyFFfFz6eF1Lpd2B | 1 | 1 | 0 | 133 | no_liquidity | https://gmgn.ai/sol/token/8wPyN5UizvYP8cznQeYwrBV6QyfBsyFFfFz6eF1Lpd2B
5bfKMFp4m1nWdua9DZkgk5GV5FZ4hZ4dk16VLfxjapen | 1 | 1 | 0 | -99.1 | no_liquidity | https://gmgn.ai/sol/token/5bfKMFp4m1nWdua9DZkgk5GV5FZ4hZ4dk16VLfxjapen
CQUH8dGRQTaqQUZ2bn9BF4psv9TeRGLrJuFjkBEzi89z | 1 | 1 | 0 | 345 | no_liquidity | https://gmgn.ai/sol/token/CQUH8dGRQTaqQUZ2bn9BF4psv9TeRGLrJuFjkBEzi89z
7kWjapd3fC9UvyyJEHiapJMX9VfdYNbryHLMzJQBsu35 | 1 | 1 | 0 | 7.84 | no_liquidity | https://gmgn.ai/sol/token/7kWjapd3fC9UvyyJEHiapJMX9VfdYNbryHLMzJQBsu35
FT59LXqDcsv5pEa8uAoeG6WP6FUnoJtwh8LfhFUP5aC2 | 1 | 1 | 0 | 649 | no_liquidity | https://gmgn.ai/sol/token/FT59LXqDcsv5pEa8uAoeG6WP6FUnoJtwh8LfhFUP5aC2
8mPFQdyZdRbAvmVqRRPCnFk3DDjsx5dkPX3hDsvsHbLt | 1 | 1 | 0 | 47.57 | no_liquidity | https://gmgn.ai/sol/token/8mPFQdyZdRbAvmVqRRPCnFk3DDjsx5dkPX3hDsvsHbLt
Gf91rjuKYGjJUSap46WmgH36D8SyYT2XbWaiosAKZ6yR | 1 | 1 | 0 | 523 | no_liquidity | https://gmgn.ai/sol/token/Gf91rjuKYGjJUSap46WmgH36D8SyYT2XbWaiosAKZ6yR
9h8SUspXEKik4peQEbyHEJfYrKyoG6tmnrLnikVgcEaC | 1 | 1 | 0 | 664 | no_liquidity | https://gmgn.ai/sol/token/9h8SUspXEKik4peQEbyHEJfYrKyoG6tmnrLnikVgcEaC
