generatedAt=2026-03-27T06:12:11.204Z
winsCount=44

id | startedAt | buyAt | sellAt | pnlAt | endedAt | pnlPct | pnlSol | cc | exitReason | gmgn
evt-000083 | 20:49:01.758 | 20:49:31.549 | 20:50:20.039 | 20:50:20.040 | 20:50:20.635 | 36.55 | 0.003655 | 1 | remove liquidity | https://gmgn.ai/sol/token/J5g5vCDMaUSpzyGtyeA94CkfwfjMtZxtgkRfJo8tv2QG
evt-000108 | 21:05:03.085 | - | 21:05:10.983 | 21:05:10.983 | 21:05:11.581 | 18.33 | 0.001833 | - | hold timeout | https://gmgn.ai/sol/token/Aipff6vjxZkNs1cWPMJocubozx2yHByTkn88MqorQ5L4
evt-000205 | 21:32:42.216 | 21:33:19.769 | 21:46:08.696 | 21:46:08.697 | 21:46:09.269 | 16.62 | 0.001662 | 1 | hold timeout | https://gmgn.ai/sol/token/8UNR7VKYrw6CbFfPYikyB25Ymf23Hb4SqabX7az13JTH
evt-000260 | 21:49:21.581 | 21:50:08.299 | 21:53:06.400 | 21:53:06.401 | 21:53:06.998 | 13.89 | 0.001389 | 0 | winner trailing stop | https://gmgn.ai/sol/token/6Msxga7Ssh1ERJUsfZKDU59X4k4JmPfEEsH6EsnCL6Vj
evt-000284 | 22:04:10.406 | - | 22:04:13.378 | 22:04:13.378 | 22:04:13.451 | 124.54 | 0.012454 | - | winner take profit | -
evt-000314 | 22:08:12.002 | 22:09:25.162 | 22:11:54.705 | 22:11:54.705 | 22:11:55.303 | 104.85 | 0.010485 | 1 | winner take profit | https://gmgn.ai/sol/token/Ac6ayv6HGTxfvW7nXFWCoRFU1jdFmQ1s6Gxh9ab51mfx
evt-000352 | 22:23:42.521 | - | 22:24:29.063 | 22:24:29.064 | 22:24:30.223 | 19.82 | 0.001982 | - | hold timeout | -
evt-000361 | 22:25:49.416 | - | 22:26:43.083 | 22:26:43.084 | 22:26:44.200 | 100.71 | 0.010071 | 4 | winner take profit | https://gmgn.ai/sol/token/AqhhqU5cbBxGrJYjuVYGeJM4cAFsTv56Sj3TG3riLv56
evt-000363 | 22:26:06.929 | 22:26:56.112 | 22:30:31.755 | 22:30:31.756 | 22:30:39.502 | 20.08 | 0.002008 | 0 | winner trailing stop | https://gmgn.ai/sol/token/8mzxbiVWS6uShr8DhWWVQxbVubPxyghsEnK4MgqPsdTm
evt-000470 | 23:05:41.264 | 23:06:33.033 | 23:11:03.378 | 23:11:03.378 | 23:11:04.037 | 5.7 | 0.00057 | 1 | hold timeout | https://gmgn.ai/sol/token/5tenVkGg78QnnxD1L7r83xQ8C5apmDGYyZvEcdLSQFGz
evt-000474 | 23:06:54.889 | 23:08:00.916 | 23:14:32.387 | 23:14:32.387 | 23:14:32.944 | 1.54 | 0.000154 | 0 | hold timeout | https://gmgn.ai/sol/token/FUqxfkNghgM2vxtxw8aCJPEYasgw1av9NRiHdRfzzKLW
evt-000533 | 23:22:11.404 | 23:22:50.420 | 23:36:25.042 | 23:36:25.043 | 23:36:34.166 | 16.42 | 0.001642 | 1 | hold timeout | https://gmgn.ai/sol/token/47GFrdi9TjFvfVhuRpEAuX4kSLFJheETek32ujtpaFng
